objX,objY,objZ,intensity
-0.15,-0.15,-5.5,37542
-0.13696,-0.13696,-5.4783,38508
-0.12391,-0.12391,-5.4565,38880
-0.11087,-0.11087,-5.4348,38990
-0.097826,-0.097826,-5.413,39030
-0.084783,-0.084783,-5.3913,39398
-0.071739,-0.071739,-5.3696,39873
-0.058696,-0.058696,-5.3478,40257
-0.045652,-0.045652,-5.3261,40710
-0.032609,-0.032609,-5.3043,41153
-0.019565,-0.019565,-5.2826,41097
-0.0065217,-0.0065217,-5.2609,41355
0.0065217,0.0065217,-5.2391,41924
0.019565,0.019565,-5.2174,42394
0.032609,0.032609,-5.1957,43154
0.045652,0.045652,-5.1739,44017
0.058696,0.058696,-5.1522,44037
0.071739,0.071739,-5.1304,44287
0.084783,0.084783,-5.1087,44677
0.097826,0.097826,-5.087,44865
0.11087,0.11087,-5.0652,45019
0.12391,0.12391,-5.0435,45170
0.13696,0.13696,-5.0217,45467
0.15,0.15,-5,45866
